player,pos,age,team_id,g,mp,pts,trb,ast,fg_pct,fg3_pct,efg_pct,stl,blk,tov
Kessler Edwards,SF,23,SAC,54,5.1,1.7,0.8,0.3,.415,.385,.537,0.2,0.1,0.1
Leonard Miller,SF,20,MIN,17,3.1,1.7,1.2,0.5,.650,.400,.700,0.1,0.1,0.1
Jason Preston,PG,24,UTA,7,10.1,1.7,2.4,2.3,.316,.000,.316,0.3,0.1,0.3
Jordan Walsh,SF,19,BOS,9,9.2,1.7,2.2,0.6,.400,.222,.467,0.6,0.1,0.3
Jalen Hood-Schifino,SG,20,LAL,21,5.2,1.6,0.6,0.4,.222,.133,.244,0.1,0.1,0.4
Jett Howard,SF,20,ORL,18,3.7,1.6,0.4,0.3,.333,.280,.450,0.1,0.1,0.2
Seth Lundy,SF,23,ATL,9,5.8,1.6,0.8,0.0,.235,.231,.324,0.0,0.0,0.1
Jordan Miller,SF,24,LAC,8,3.5,1.6,0.6,0.0,.556,.500,.611,0.0,0.0,0.1
Josh Minott,SF,21,MIN,32,2.8,1.6,0.5,0.3,.472,.400,.528,0.2,0.2,0.1
Jalen Pickett,SG,24,DEN,27,4.5,1.6,0.5,0.8,.429,.360,.557,0.1,0.0,0.3
Ibou Badji,C,21,POR,22,10.3,1.5,2.3,0.6,.636,0.0,.636,0.1,0.9,0.7
Colin Castleton,C,23,LAL,16,3.7,1.5,0.8,0.2,.563,0.0,.563,0.1,0.0,0.2
Adam Flagler,SG,24,OKC,2,7.0,1.5,0.0,2.0,.143,.167,.214,0.0,0.0,0.0
Dariq Whitehead,SF,19,BRK,2,12.0,1.5,2.0,1.5,.200,.000,.200,0.0,0.5,0.0
Terry Taylor,PF,24,CHI,31,6.1,1.5,1.2,0.3,.513,.222,.538,0.2,0.1,0.2
Jack White,SF,26,MEM,4,16.0,1.5,3.0,0.3,.125,.200,.188,1.0,0.3,0.5
Kendall Brown,SG,20,IND,15,4.2,1.4,0.3,0.3,.533,.000,.533,0.0,0.0,0.1
Mason Jones,SG,25,SAC,5,5.6,1.4,1.0,1.0,.250,.286,.375,0.2,0.0,0.4
Jerome Robinson,SG,26,GSW,22,3.7,1.4,0.3,0.2,.333,.118,.364,0.0,0.1,0.1
Jermaine Samuels,SF,25,HOU,14,4.3,1.4,0.9,0.2,.643,.000,.643,0.1,0.1,0.0
Jacob Toppin,SF,23,NYK,9,4.2,1.4,0.8,0.3,.556,.250,.611,0.0,0.1,0.1
R.J. Hampton,PG,22,MIA,8,9.5,1.3,0.8,1.0,.286,.125,.321,0.0,0.0,0.4
Nathan Mensah,C,25,CHO,25,12.3,1.3,2.6,0.4,.429,0.0,.429,0.2,0.6,0.6
Isaiah Thomas,PG,34,PHO,6,3.2,1.3,0.0,0.5,.300,.500,.400,0.0,0.0,0.0
TyTy Washington Jr.,PG,22,MIL,11,5.1,1.3,0.5,0.5,.300,.333,.350,0.3,0.0,0.2
Jay Huff,C,25,DEN,20,2.5,1.2,0.6,0.1,.600,.333,.700,0.1,0.2,0.1
Keyontae Johnson,SF,23,OKC,9,7.3,1.2,1.1,0.4,.313,.333,.344,0.1,0.0,0.4
Chris Livingston,SF,20,MIL,21,4.3,1.2,1.0,0.2,.500,.200,.523,0.1,0.0,0.2
Braxton Key,SF,26,DEN,20,3.0,1.1,0.9,0.5,.412,.400,.471,0.1,0.1,0.1
Robin Lopez,C,35,MIL,16,4.1,1.1,0.3,0.3,.368,.250,.421,0.1,0.2,0.1
Admiral Schofield,PF,26,ORL,23,3.7,1.1,0.7,0.3,.385,.375,.500,0.0,0.0,0.2
Hunter Tyson,PF,23,DEN,18,2.7,1.1,0.5,0.1,.400,.286,.500,0.1,0.0,0.1
Filip Petrušev,C,23,2TM,3,3.3,1.0,0.3,0.0,.500,0.0,.500,0.0,0.0,0.0
